timestamp,open,high,low,close,volume,vwap,transactions,macd,macd_signal,macd_hist,bb_mid_20,bb_up_20,bb_dn_20,bb_bw_20,stoch_k_14,stoch_d_14,obv
2024-12-29 05:00:00,134.83,144.9,133.83,144.47,749220805.0,138.9361,5860722,0.0,0.0,0.0,,,,,,,0.0
2025-01-05 05:00:00,148.59,153.13,134.22,135.91,1051929345.0,143.1943,9254149,-0.6828490028489966,-0.13656980056979934,-0.5462792022791974,,,,,,,-1051929345.0
2025-01-12 05:00:00,129.99,138.75,129.51,137.71,994759204.0,134.4357,7733253,-1.0664731617438008,-0.32255047280459964,-0.7439226889392012,,,,,,,-57170141.0
2025-01-19 05:00:00,139.16,148.97,137.09,142.62,825867952.0,144.278,6314959,-0.9631989482084862,-0.45068016788537696,-0.5125187803231093,,,,,,,768697811.0
2025-01-26 05:00:00,124.8,129.0,116.25,120.07,2644613932.0,122.5893,22426062,-2.6701698755160237,-0.8945781094115063,-1.7755917661045175,,,,,,,-1875916121.0
2025-02-02 05:00:00,114.75,130.37,113.01,129.84,1365481184.0,122.2208,10844701,-3.1977377544548062,-1.3552100384201664,-1.8425277160346398,,,,,,,-510434937.0
2025-02-09 05:00:00,130.09,139.25,129.08,138.85,948845015.0,134.1446,7081155,-2.855886517105347,-1.6553453341572026,-1.2005411829481443,,,,,,,438410078.0
2025-02-16 05:00:00,141.27,143.44,134.03,134.43,758690855.0,139.0584,5578486,-2.9081012283888015,-1.9058965130035224,-1.002204715385279,,,,,,,-320280777.0
2025-02-23 05:00:00,136.56,138.59,116.4,124.92,1677191057.0,127.2621,13648330,-3.674501914113563,-2.2596175932255305,-1.4148843208880324,,,,,,,-1997471834.0
2025-03-02 05:00:00,123.51,123.7,107.56,112.69,1754431913.0,114.326,14905407,-5.208696161742779,-2.8494333069289803,-2.3592628548137986,,,,,,,-3751903747.0
2025-03-09 05:00:00,109.9,121.88,104.77,121.67,1618626290.0,113.166,13108049,-5.634988564737256,-3.4065443584906356,-2.2284442062466203,,,,,,,-2133277457.0
2025-03-16 04:00:00,122.74,122.89,114.54,117.7,1343857934.0,117.9684,8999758,-6.221457101958151,-3.969526907184139,-2.2519301947740122,,,,,,,-3477135391.0
