cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
0.525,USD,2025-09-11,CD,2025-09-22,4,E352d0e5ee2e9f97c021ee138457b272f923a4d0ac764ba3e5a2e3aad5232772b,2025-09-29,2025-09-22,META
0.525,USD,2025-05-29,CD,2025-06-16,4,Ea926aaf34c234b1c844cac965e0f8a3991e2bf42f88b3f0148576cc215a31a14,2025-06-26,2025-06-16,META
0.525,USD,2025-02-13,CD,2025-03-14,4,E27c60f82e95faa5cf7f8c34f621350af97b3081412a630dfba702f9679f7ec36,2025-03-26,2025-03-14,META
0.5,USD,2024-12-05,CD,2024-12-16,4,Ecec59fc797c01fe342c9693ce95f194450e2ca76f632da986c5e24e4836c64cf,2024-12-27,2024-12-16,META
0.5,USD,2024-09-05,CD,2024-09-16,4,Ebb8825e317cd430d0ff8210f0b8cd537870a77a983de9d499bf86ed2a7b14c4e,2024-09-26,2024-09-16,META
0.5,USD,2024-05-30,CD,2024-06-14,4,Edbd30f584bd978a9c21fa5a5f829a94f2c66b401057211d3bbf2f8b2963750b8,2024-06-26,2024-06-14,META
0.5,USD,2024-02-01,CD,2024-02-21,4,Ef8795a4515fee5e57f05030294218f0aac8514e8f060886876b30f6d92337cd1,2024-03-26,2024-02-22,META
