execution_date,id,split_from,split_to,ticker
2005-05-31,E526f45e08d4fd7a8ecc83d8a21349226f9f1a53b58745e5ecafaef32a6b52e70,1,2,UNH
2003-06-19,E39cdfb1881b196333babb1e1565cf8a81807f384247d98cb1740efcec742c1d8,1,2,UNH
