execution_date,id,split_from,split_to,ticker
2022-08-25,Ea58e4c7785a1f9b68c3641137e7319bd7f7ff71d006d3132e0d0141b03860eb9,1,3,TSLA
2020-08-31,Ec6bfc0213a18bfe35770ec1c95dc1f2ee90e99ab3dc94aad5e9adbe54ad2d6d2,1,5,TSLA
