execution_date,id,split_from,split_to,ticker
2024-06-10,Ea86fa28faba275487714f7b3f199ee4a04d2c271b1471648fbd945397a6008ba,1,10,NVDA
2021-07-20,E9b6d16a5a1f1ab1f5c8db9ab357419b4d1efb7585ba090809310fafcd827678e,1,4,NVDA
2007-09-11,E3c64a7eadb9371ec1548f0d4349d5495586952e2c030ec9c794c6a81de20524a,2,3,NVDA
2006-04-07,Ebaa656ed041f72ae585526f1dbe6829b372a8b57b9795b4170e248542d08356f,1,2,NVDA
