timestamp,open,high,low,close,volume,vwap,transactions,sma_20,sma_50,ema_12,ema_26,rsi_14,volatility_20,atr_14
2024-12-29 05:00:00,62.34,62.75,61.62,61.75,41623055.0,61.9771,401670,61.75,61.75,61.75,61.75,,,1.1300000000000026
2025-01-05 05:00:00,61.5,61.77,60.615,61.07,72071614.0,61.1123,628807,61.41,61.41,61.645384615384614,61.69962962962963,0.0,,1.1425000000000018
2025-01-12 05:00:00,61.13,62.765,60.71,62.71,81375059.0,61.9635,616170,61.843333333333334,61.843333333333334,61.80917159763314,61.77447187928669,15.648854961832072,0.026775712028120527,1.4466666666666679
2025-01-19 05:00:00,62.9,63.23,61.37,61.92,73781981.0,61.9983,577580,61.8625,61.8625,61.826222121074196,61.78525174008027,14.473862864901577,0.02233405355271202,1.5500000000000007
2025-01-26 05:00:00,62.87,64.285,62.28,63.48,72327618.0,63.3652,704990,62.186,62.186,62.08064948706278,61.91078864822247,26.24985364711391,0.02186070104889737,1.7129999999999996
2025-02-02 05:00:00,63.18,63.92,62.35,63.84,65040717.0,63.206,591153,62.461666666666666,62.461666666666666,62.35131879674543,62.05369319279858,28.68997689609138,0.01894284980213354,1.6891666666666663
2025-02-09 05:00:00,64.1,70.03,63.66,68.87,117930250.0,67.81,1018051,63.37714285714286,63.37714285714286,63.354192828015364,62.55860480814684,52.39176550315281,0.03391632809371686,2.357857142857143
2025-02-16 05:00:00,68.55,71.6,68.42,71.35,66661654.0,70.0894,568676,64.37375,64.37375,64.5843170083207,63.209819266802626,59.53337231546594,0.03163585094238863,2.4606249999999994
2025-02-23 05:00:00,70.84,71.7699,70.33,71.21,96462060.0,71.0515,816415,65.13333333333334,65.13333333333334,65.60365285319443,63.802425247039466,58.99535934150664,0.03041932093811051,2.3472111111111116
2025-03-02 05:00:00,70.24,72.65,69.45,71.43,121150382.0,70.8781,933754,65.763,65.763,66.50001395270299,64.3674307842958,59.61302424744028,0.028906867296129124,2.4324900000000005
2025-03-09 05:00:00,71.96,73.22,68.3803,69.16,102202589.0,70.6553,865060,66.07181818181817,66.07181818181817,66.90924257536406,64.722435911385,51.06558390696887,0.03126505714103098,2.6513272727272725
2025-03-16 04:00:00,69.24,70.19,68.18,68.67,106847166.0,69.1975,655317,66.28833333333334,66.28833333333334,67.18012833300035,65.01484806609723,49.41841314224632,0.030203712588236554,2.5978833333333324
2025-03-23 04:00:00,68.8,71.315,68.33,70.37,68648353.0,69.7481,622251,66.60230769230769,66.60230769230769,67.67087782023107,65.41152598712706,54.85870122949485,0.029106957755217693,2.627661538461538
2025-03-30 04:00:00,70.73,73.95,69.79,69.93,105409413.0,71.7934,1044000,66.84,66.84,68.01843507865706,65.7462277658584,53.26195824616066,0.028291121347195303,2.7371142857142847
